source_bigram,target_bigram,count
NN→.,NNS→.,21
NN→.,NN→NNS,14
IN→JJ,NN→NN,14
DT→NN,NN→NN,13
IN→DT,NN→NN,13
DT→JJ,NN→NN,13
JJ→NNS,NN→.,13
JJ→NNS,NN→NN,13
"NN→,",NN→NNS,12
",→CC",NN→.,12
JJ→NNS,NN→VBD,12
JJ→NN,NN→NN,11
",→CC",NN→CC,11
IN→DT,NN→NNS,11
NN→IN,NN→VBD,11
IN→NN,IN→JJ,11
NNS→.,NN→.,11
"RB→,",NN→NN,10
DT→NN,NN→NNS,10
IN→NN,DT→NN,10
IN→NN,JJ→NN,10
NNS→VBD,NN→VBD,10
NN→IN,NN→NN,10
NN→VBD,NNS→VBD,10
IN→DT,IN→NN,10
",→CC",NN→NNS,9
JJ→NNS,CC→NN,9
",→CC",JJ→NN,9
IN→NN,NN→VBD,9
"NNS→,",NN→VBD,9
IN→JJ,NNS→VBD,9
IN→NN,NNS→.,9
JJ→NN,NNS→.,9
IN→JJ,IN→NN,9
IN→JJ,NN→.,9
",→CC",IN→NN,8
",→CC",NNS→VBD,8
",→NN",NN→NNS,8
"NN→,",IN→NN,8
",→JJ",NN→NN,8
