symbol,type,num_rules,description
"''","pos",1,"Closing quote"
",","pos",1,"Comma"
".","pos",1,"Sentence-final punctuation (. ! ?)"
":","pos",1,"Colon, semi-colon, dash"
"ADJP","phrase",18,"Adjective phrase"
"ADVP","phrase",4,"Adverb phrase"
"CC","pos",1,"Coordinating conjunction (and, or, but)"
"CD","pos",1,"Cardinal number"
"CONJP","phrase",2,"Conjunction phrase"
"DT","pos",1,"Determiner (the, a, this)"
"FRAG","phrase?",4,"Likely phrase/category (not in table)"
"FW","pos",1,"Foreign word"
"IN","pos",1,"Preposition/subordinating conjunction (in, on, because)"
"JJ","pos",1,"Adjective"
"JJR","pos",1,"Adjective, comparative (bigger)"
"JJS","pos",1,"Adjective, superlative (biggest)"
"MD","pos",1,"Modal (can, will, should)"
"NML","phrase?",1,"Likely phrase/category (not in table)"
"NN","pos",1,"Noun, singular or mass"
"NNS","pos",1,"Noun, plural"
"NP","phrase",57,"Noun phrase"
"NP+NP","phrase?",1,"Likely phrase/category (not in table)"
"POS","pos",1,"Possessive ending ('s)"
"PP","phrase",11,"Prepositional phrase"
"PRP","pos",1,"Personal pronoun (I, you, we)"
"PRP$","pos",1,"Possessive pronoun (my, your, our)"
"PRT","phrase",1,"Particle"
"RB","pos",1,"Adverb (quickly, not)"
"RBR","pos",1,"Adverb, comparative (faster)"
"RBS","pos",1,"Adverb, superlative (fastest)"
"RP","pos",1,"Particle (up, off)"
"S","phrase",33,"Clause / sentence"
"S+ADJP","phrase?",1,"Likely phrase/category (not in table)"
"S+VP","phrase?",27,"Likely phrase/category (not in table)"
"SBAR","phrase",13,"Subordinate clause (introduced by 'that', 'because', etc.)"
"SBAR+S","phrase?",1,"Likely phrase/category (not in table)"
"SQ","phrase",7,"Inverted yes/no question"
"TO","pos",1,"Infinitive 'to'"
"TOP","phrase?",3,"Likely phrase/category (not in table)"
"UH","pos",1,"Interjection (uh, well)"
"VB","pos",1,"Verb, base form"
"VBD","pos",1,"Verb, past tense"
"VBG","pos",1,"Verb, gerund/present participle"
"VBN","pos",1,"Verb, past participle"
"VBP","pos",1,"Verb, non-3sg present"
"VBZ","pos",1,"Verb, 3sg present"
"VP","phrase",54,"Verb phrase"
"WDT","pos",1,"Wh-determiner (which, that)"
"WHADVP","phrase",2,"Wh-adverb phrase (why, how...)"
"WHNP","phrase",2,"Wh-noun phrase (who, what, which...)"
"WHPP","phrase",1,"Wh-prepositional phrase (in which, to whom...)"
"WP","pos",1,"Wh-pronoun (who, what)"
"WRB","pos",1,"Wh-adverb (where, when, how)"
"``","pos",1,"Opening quote"
