source_bigram,target_bigram,count
NN→.,NNS→.,11
NN→IN,JJ→NN,8
DT→NN,JJ→NNS,8
NN→IN,JJ→NNS,8
DT→NN,NN→NNS,8
DT→NN,JJ→NN,7
NN→.,JJ→NNS,7
NN→.,NN→NNS,7
"NN→,",JJ→NNS,7
"NN→,",NN→CC,7
",→CC",NN→CC,7
NN→IN,NN→.,7
DT→NN,NN→.,7
JJ→NN,JJ→NNS,7
IN→NN,JJ→NN,7
NNS→VBP,JJ→NN,6
NNS→VBP,NN→.,6
DT→NN,IN→JJ,6
",→NN",JJ→NNS,6
"NN→,",NNS→IN,6
DT→NNS,JJ→NNS,6
IN→NN,NNS→NN,6
IN→NN,NNS→.,6
DT→NN,NNS→.,6
DT→NN,DT→JJ,5
",→NN",NN→CC,5
",→CC",JJ→NNS,5
NN→IN,CC→JJ,5
NN→NNS,JJ→NNS,5
NNS→VBP,NN→CC,5
JJ→.,NN→.,5
PRP→VBZ,NN→.,5
NN→IN,NN→NNS,5
VBZ→DT,VBG→JJ,5
PRP→VBZ,JJ→NNS,5
IN→NN,CC→JJ,5
IN→NN,NN→CC,5
NNS→.,NN→.,5
PRP→VBZ,JJ→NN,5
VBZ→DT,JJ→NN,5
