source_bigram,target_bigram,count
NN→.,NNS→.,14
NN→VBZ,IN→NN,11
NN→VBZ,NN→.,8
IN→DT,IN→NN,7
TO→VB,IN→NN,7
NN→.,NN→NNS,7
TO→VB,NN→.,7
JJ→NNS,JJ→NN,6
",→CC",NN→CC,6
IN→DT,NN→CC,6
DT→JJ,NN→RB,6
JJ→NN,NN→RB,6
DT→NN,NN→.,6
NN→VBZ,JJ→NN,6
IN→DT,NNS→.,6
TO→VB,NNS→.,6
DT→JJ,NNP→NN,6
RB→IN,NNS→.,6
JJ→NN,NNS→.,6
"NN→,",NN→RB,6
VBZ→RB,NN→.,6
NN→.,JJ→NNS,6
NN→VBZ,NN→RB,6
TO→VB,NN→IN,6
VB→.,NN→.,6
VBP→RB,NN→.,6
",→CC",JJ→NNS,5
DT→NN,JJ→NNS,5
PRP→MD,JJ→IN,5
TO→VB,JJ→NNS,5
DT→NN,JJ→NN,5
",→CC",IN→NN,5
DT→JJ,IN→NN,5
DT→JJ,JJ→JJ,5
DT→JJ,NN→NNS,5
IN→DT,NN→NNS,5
IN→DT,NNS→RB,5
"NN→,",IN→NN,5
"NN→,",NN→CC,5
NN→VBZ,NN→IN,5
