source_bigram,target_bigram,count
NNS→.,NN→.,8
NN→CC,NN→.,8
IN→JJ,IN→NN,7
JJ→NNS,IN→NN,7
JJ→NNS,NN→.,7
NN→IN,NN→VBZ,7
NN→.,NNS→.,7
IN→JJ,NN→.,6
NN→VBZ,NN→.,6
DT→NN,NN→.,6
JJ→NN,JJ→NNS,6
JJ→NN,NNS→.,6
NN→IN,NNS→.,6
IN→NN,JJ→NN,6
NNS→IN,NNS→.,6
"NNS→,",NNS→.,6
",→CC",NN→CC,5
CC→JJ,NN→.,5
"NNS→,",NN→.,5
IN→JJ,IN→VBG,5
IN→JJ,VBG→NNS,5
NNS→VBP,IN→VBG,5
NN→NN,NNS→VBD,5
NNS→IN,NNS→VBD,5
"NN→,",NN→VBZ,5
IN→DT,JJ→NN,5
DT→NNS,NN→.,5
TO→VB,NN→.,5
NN→IN,NN→NNS,5
NN→IN,VBN→IN,5
NNS→IN,IN→NN,5
NNS→IN,NN→NNS,5
JJ→NN,IN→VBG,5
DT→NN,DT→JJ,5
IN→NN,IN→JJ,5
IN→NN,NNS→.,5
RB→VBN,NNS→.,5
NN→.,NN→RB,5
IN→NNS,IN→JJ,5
"NNS→,",IN→JJ,5
