pos_bigram_from,pos_bigram_to,added_count,removed_count,net_change
NNP,NN,112,44,68
NN,NNP,89,23,66
NNS,.,131,71,60
NNP,NNS,65,16,49
NN,NNS,120,80,40
VBG,JJ,51,15,36
IN,VBG,71,43,28
VBG,NN,59,35,24
NN,RB,67,46,21
NNP,VBZ,35,23,12
NNS,VBD,59,48,11
NNS,NN,23,12,11
VBZ,VBG,16,6,10
VBG,RB,14,4,10
VBG,NNS,39,30,9
VBD,IN,37,28,9
JJ,JJ,56,47,9
VBG,VBN,10,2,8
VB,VBG,8,0,8
NNP,JJ,16,8,8
VBZ,VBZ,10,2,8
VBN,NN,27,20,7
JJ,IN,37,30,7
CD,NN,7,0,7
IN,RB,16,9,7
WP,DT,7,0,7
JJ,NNP,16,9,7
NNP,.,10,3,7
VBN,JJ,10,4,6
NNS,VBG,13,7,6
PRP$,JJ,18,12,6
NNS,JJ,21,15,6
NNS,RB,40,35,5
NN,MD,29,24,5
RB,.,31,26,5
NN,NN,120,115,5
VBP,VB,5,0,5
IN,.,9,4,5
NNS,VBN,23,18,5
NNP,TO,5,1,4
JJ,VBZ,12,8,4
NNS,NNP,8,4,4
VBG,RBR,4,0,4
RB,NNS,12,8,4
NNS,JJR,4,0,4
NNP,VBP,5,1,4
VBN,DT,7,3,4
RBR,NNS,4,0,4
TO,VBG,6,2,4
CD,JJ,4,0,4
VBZ,RP,3,0,3
RP,IN,3,0,3
EX,NNP,3,0,3
VBG,NNP,5,2,3
VBD,NNPS,3,0,3
VBG,VBZ,4,1,3
IN,NNPS,3,0,3
VBG,",",8,5,3
DT,.,4,1,3
JJR,.,5,2,3
NN,VB,5,2,3
PRP,JJR,3,0,3
VBP,.,8,5,3
RP,PRP$,3,0,3
NN,.,167,164,3
VB,JJ,46,43,3
VB,CC,7,4,3
JJ,VBP,3,0,3
JJ,VBN,7,4,3
VBG,PRP,9,6,3
RP,VBG,3,0,3
EX,VBD,2,0,2
JJR,PRP$,2,0,2
VBG,IN,19,17,2
",",NNPS,2,0,2
